t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.334056352760600391e-30,6.670281763803001732e-20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,4.163262415798657843e-26,2.081631207899328928e-15,3.335140881901500839e-34,1.783837307130682552e-25,8.919186535653412222e-15,2.009367261966817492e-28,4.143168743178989852e-26,3.319044075520261805e-34
1.000000000000000021e-02,1.113383673981780591e-20,5.566918369908903242e-10,8.919186535653412662e-29,9.784285295123074741e-23,4.892142647561537499e-12,1.449720650487366165e-22,1.098886467476906976e-20,8.803051108051505812e-29
1.499999999999999944e-02,6.106870587294989536e-18,3.053435293647494831e-07,4.892142680912944472e-26,3.077972897948987838e-21,1.538986448974493977e-10,1.834354690056599212e-19,5.923435118289329374e-18,4.745194669769094498e-26
2.000000000000000042e-02,1.921230915716688706e-16,9.606154578583442870e-06,1.539075640839850835e-24,2.769201111268399138e-19,1.384600555634199672e-08,4.066542751538505618e-17,1.514576640562838021e-16,1.213309651955997658e-24
2.500000000000000139e-02,1.729010073557583979e-14,8.645050367787920388e-04,1.385089769902291192e-22,7.565447123337080558e-18,3.782723561668539845e-07,4.279835702883889621e-16,1.686211716528745152e-14,1.350804506099693493e-22
2.999999999999999889e-02,4.723901918181858986e-13,2.361950959090929406e-02,3.784262637309376853e-21,1.457874891418552230e-16,7.289374457092762838e-06,4.665131592501004779e-14,4.257388758931758508e-13,3.410544395707360624e-21
3.500000000000000333e-02,9.116629464952982086e-12,4.558314732476491105e-01,7.303225354791794688e-20,2.776746534637061112e-15,1.388373267318530793e-04,1.092650293677590962e-12,8.023979171275390519e-12,6.427915969960056345e-20
4.000000000000000083e-02,1.737832771259649682e-10,8.689163856298248945e+00,1.392157529955838802e-18,3.222333175384039757e-14,1.611166587692020079e-03,2.104042859397766090e-11,1.527428485319873008e-10,1.223605114642756078e-18
4.499999999999999833e-02,2.020338804974497222e-09,1.010169402487248647e+02,1.618469813046811282e-17,4.073775177521230227e-13,2.036887588760614987e-02,1.625730027115795386e-10,1.857765802262917786e-09,1.488234479914955564e-17
5.000000000000000278e-02,2.560028801493776030e-08,1.280014400746887986e+03,2.050809164060175860e-16,4.174778937965099163e-12,2.087389468982549789e-01,1.536374951057533938e-09,2.406391306388022554e-08,1.927731961677812345e-16
5.500000000000000028e-02,2.625895450567426459e-07,1.312947725283713226e+04,2.103574167113016021e-15,3.537068893130767787e-11,1.768534446565384055e+00,1.291758766481980956e-08,2.496719573919228231e-07,2.000092881491911493e-15
5.999999999999999778e-02,2.233265047361794260e-06,1.116632523680897139e+05,1.789042538205985066e-14,2.444304055209711685e-10,1.222152027604855817e+01,9.941972970762296672e-08,2.133845317654171346e-06,1.709398554257910335e-14
6.500000000000000222e-02,1.551873548638941529e-05,7.759367743194707436e+05,1.243187769275987310e-13,1.373263887990356876e-09,6.866319439951783465e+01,6.593962908001238163e-07,1.485933919558929116e-05,1.190364302792675795e-13
7.000000000000000666e-02,8.794565523257266628e-05,4.397282761628633365e+06,7.045223693772387449e-13,6.282473555970953635e-09,3.141236777985477033e+02,3.889020537989121680e-06,8.405663469458354799e-05,6.733678802016773926e-13
7.499999999999999722e-02,4.076398925829134560e-04,2.038199462914567441e+07,3.265555554913069467e-12,2.337979700973889338e-08,1.168989850486944761e+03,1.977841408719453910e-05,3.878614784957189372e-04,3.107112990372671225e-12
8.000000000000000167e-02,1.547197807185933267e-03,7.735989035929666460e+07,1.239442087424669747e-11,7.093642599554941512e-08,3.546821299777470813e+03,8.368405604389629691e-05,1.463513751142037078e-03,1.172403767808731397e-11
8.500000000000000611e-02,4.835143358193277202e-03,2.417571679096638560e+08,3.873376855268780468e-11,1.758937479867179268e-07,8.794687399335896771e+03,2.953117835613978189e-04,4.539831574631879654e-03,3.636806035585312298e-11
8.999999999999999667e-02,1.252562204918606335e-02,6.262811024593031406e+08,1.003412948676055333e-10,3.574539391458127609e-07,1.787269695729063824e+04,8.754065387152505911e-04,1.165021551047081341e-02,9.332851535970357820e-11
9.500000000000000111e-02,2.714566340699663821e-02,1.357283170349831820e+09,2.174607381255942096e-10,5.971705270271915566e-07,2.985852635135958553e+04,2.200937394082268586e-03,2.494472601291437136e-02,1.998292857971169309e-10
1.000000000000000056e-01,4.979807468359342265e-02,2.489903734179671288e+09,3.989265583812016125e-10,8.228598899723359791e-07,4.114299449861679750e+04,4.748292944232882298e-03,4.504978173936054209e-02,3.608885383480166520e-10
1.049999999999999961e-01,7.850453810971780300e-02,3.925226905485889912e+09,6.288906831117618710e-10,9.385780531517247857e-07,4.692890265758625173e+04,8.912447935772744440e-03,6.959209017394506203e-02,5.574941039395788469e-10
1.100000000000000006e-01,1.083795090419554658e-01,5.418975452097773552e+09,8.682155849570638515e-10,8.893761819195660766e-07,4.446880909597832942e+04,1.478741512052504994e-02,9.359209392143041928e-02,7.497553300402461462e-10
1.150000000000000050e-01,1.340150332103202946e-01,6.700751660516015053e+09,1.073578774071545960e-09,7.016390802534113726e-07,3.508195401267056877e+04,2.206640410880359240e-02,1.119486291015167057e-01,8.968073887739123469e-10
1.199999999999999956e-01,1.521723759059351866e-01,7.608618795296759605e+09,1.219035125083769674e-09,4.587574897030009339e-07,2.293787448515003780e+04,3.015212729164125013e-02,1.220202486142939330e-01,9.774899560234631361e-10
1.250000000000000000e-01,1.626484235599013894e-01,8.132421177995069504e+09,1.302957518923045514e-09,2.413330025181124664e-07,1.206665012590562401e+04,3.839305552831345780e-02,1.242553680315879316e-01,9.953952365464036774e-10
1.300000000000000044e-01,1.672351971577718255e-01,8.361759857888590813e+09,1.339701626342825916e-09,8.868858448443400522e-08,4.434429224221676122e+03,4.627811431889393423e-02,1.209570828388778913e-01,9.689730592062627114e-10
1.350000000000000089e-01,1.681839296085081426e-01,8.409196480425407410e+09,1.347301811165262448e-09,8.363969635613366154e-10,4.181984817807096988e+01,5.350745952726838200e-02,1.146764700812397675e-01,9.186598041688121831e-10
1.400000000000000133e-01,1.672874009501510162e-01,8.364370047507551193e+09,1.340119824824606759e-09,-4.063240673971144410e-08,-2.031620336985593894e+03,5.996305213199382145e-02,1.073243488181571947e-01,8.597628196785847930e-10
1.449999999999999900e-01,1.656478542546772625e-01,8.282392712733862877e+09,1.326985607795406784e-09,-5.576250843431265940e-08,-2.788125421715609264e+03,6.564907599325117693e-02,9.999877826142608561e-02,8.010785297950200486e-10
1.499999999999999944e-01,1.638069789260764575e-01,8.190348946303822517e+09,1.312238570607450473e-09,-5.892025857734992266e-08,-2.946012928867494338e+03,7.062917978732140278e-02,9.317779913875505471e-02,7.464364629382932989e-10
1.549999999999999989e-01,1.619703409688761919e-01,8.098517048443809509e+09,1.297525478506731674e-09,-5.773091560020702891e-08,-2.886545780010346789e+03,7.498373144330283679e-02,8.698660952557335513e-02,6.968395662637771594e-10
1.600000000000000033e-01,1.602036985901202637e-01,8.010184929506012917e+09,1.283373112807347068e-09,-5.505755192430434998e-08,-2.752877596215213998e+03,7.879045623918191910e-02,8.141324235093834460e-02,6.521919729642632324e-10
1.650000000000000078e-01,1.585339188693448143e-01,7.926695943467240334e+09,1.269996702544579557e-09,-5.186898772759889818e-08,-2.593449386379928910e+03,8.211919388757732419e-02,7.641472498176749006e-02,6.121494342966197526e-10
1.700000000000000122e-01,1.569662910142712309e-01,7.848314550713562012e+09,1.257438618943547676e-09,-4.879547520011159704e-08,-2.439773760005555232e+03,8.503387347524722639e-02,7.193241753902400448e-02,5.762421930407801444e-10
1.750000000000000167e-01,1.554883448568036008e-01,7.774417242840180397e+09,1.245598964944524058e-09,-4.614838264937974797e-08,-2.307419132469018223e+03,8.758942937876096346e-02,6.789891547804263738e-02,5.439302792643042280e-10
1.799999999999999933e-01,1.540859355234933115e-01,7.704296776174665451e+09,1.234364427618857572e-09,-4.376580312399847302e-08,-2.188290156199960620e+03,8.983088492098030564e-02,6.425505060251300582e-02,5.147397034591697813e-10
1.849999999999999978e-01,1.527566982833085674e-01,7.637834914165428162e+09,1.223716063382524347e-09,-4.143674663441182954e-08,-2.071837331720584189e+03,9.179990610328433998e-02,6.095679218002422739e-02,4.883177405721436537e-10
1.900000000000000022e-01,1.514996572221451732e-01,7.574982861107258797e+09,1.213646054301651677e-09,-3.925067289743859405e-08,-1.962533644871931756e+03,9.353206772833733140e-02,5.796758949380784176e-02,4.643715870814139980e-10
1.950000000000000067e-01,1.503068639726280187e-01,7.515343198631401062e+09,1.204090726933805117e-09,-3.734963407032056550e-08,-1.867481703516008565e+03,9.505843691867411904e-02,5.524842705395389963e-02,4.425886944554919180e-10
2.000000000000000111e-01,1.491684764223682458e-01,7.458423821118412018e+09,1.194971237266491506e-09,-3.565854694479972284e-08,-1.782927347239994560e+03,9.640517793873540353e-02,5.276329848363284225e-02,4.226806198162208408e-10
2.050000000000000155e-01,1.480812325292474863e-01,7.404061626462374687e+09,1.186261453461405147e-09,-3.402483288675740413e-08,-1.701241644337860635e+03,9.759390597798309197e-02,5.048732655126439428e-02,4.044480745678180244e-10
2.099999999999999922e-01,1.470448133901711973e-01,7.352240669508560181e+09,1.177958820823113004e-09,-3.246578390562494392e-08,-1.623289195281235152e+03,9.864461880471923905e-02,4.840019458545195830e-02,3.877283042293221941e-10
2.149999999999999967e-01,1.460548776806830928e-01,7.302743884034154892e+09,1.170028561508592705e-09,-3.107594920365457344e-08,-1.553797460182715440e+03,9.957493729133701232e-02,4.647994038934608052e-02,3.723453722076157707e-10
2.200000000000000011e-01,1.451052052006502890e-01,7.255260260032514572e+09,1.162420846221285795e-09,-2.983523453734100324e-08,-1.491761726867043762e+03,1.003999938643296563e-01,4.470521133632063271e-02,3.581282251054241026e-10
2.250000000000000056e-01,1.441927088096482956e-01,7.209635440482415199e+09,1.155110944239922271e-09,-2.864830338316807918e-08,-1.432415169158412027e+03,1.008489191770330223e-01,4.334378963261527329e-02,3.472220348919381420e-10
2.300000000000000100e-01,1.433171187453108064e-01,7.165855937265540123e+09,1.148096694529701765e-09,-2.750210509935364350e-08,-1.375105254967696965e+03,1.011386326826812648e-01,4.217848606262954159e-02,3.378869241351985520e-10
