t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.334056352760600391e-30,6.670281763803001732e-20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,4.163262415798657843e-26,2.081631207899328928e-15,3.335140881901500839e-34,1.783837307130682552e-25,8.919186535653412222e-15,2.009367261966817492e-28,4.143168743178989852e-26,3.319044075520261805e-34
1.000000000000000021e-02,1.113383673981780591e-20,5.566918369908903242e-10,8.919186535653412662e-29,9.784285284404222534e-23,4.892142642202110718e-12,1.449720650487366165e-22,1.098886467476906976e-20,8.803051108051505812e-29
1.499999999999999944e-02,6.106870580604808110e-18,3.053435290302403962e-07,4.892142675553517899e-26,3.077972883047789501e-21,1.538986441523894669e-10,1.834354589703897326e-19,5.923435121634418546e-18,4.745194672448806636e-26
2.000000000000000042e-02,1.921230906416092096e-16,9.606154532080459928e-06,1.539075633389251542e-24,2.769201076448850116e-19,1.384600538224424764e-08,4.066542612029509014e-17,1.514576645213141256e-16,1.213309655681301253e-24
2.500000000000000139e-02,1.729010051824261568e-14,8.645050259121307354e-04,1.385089752491980415e-22,7.565446413043270231e-18,3.782723206521634987e-07,4.279832442879192345e-16,1.686211727395469782e-14,1.350804514804899663e-22
2.999999999999999889e-02,4.723901474842032271e-13,2.361950737421016078e-02,3.784262282155021470e-21,1.457874781809126208e-16,7.289373909045630667e-06,4.665124942373617877e-14,4.257388980604670294e-13,3.410544573286941214e-21
3.500000000000000333e-02,9.116628780607420011e-12,4.558314390303709884e-01,7.303224806570560174e-20,2.776746330190815472e-15,1.388373165095407706e-04,1.092649267154965736e-12,8.023979513452454478e-12,6.427916244074105970e-20
4.000000000000000083e-02,1.737832643211000014e-10,8.689163216055000305e+00,1.392157427377561498e-18,3.222332785202636844e-14,1.611166392601318456e-03,2.104040938659633270e-11,1.527428549345036655e-10,1.223605165932566784e-18
4.499999999999999833e-02,2.020338560758074915e-09,1.010169280379037389e+02,1.618469617407888379e-17,4.073774648987871997e-13,2.036887324493935961e-02,1.625726363852502555e-10,1.857765924372824660e-09,1.488234577735775182e-17
5.000000000000000278e-02,2.560028470328714366e-08,1.280014235164357160e+03,2.050808898767714059e-16,4.174778315313349047e-12,2.087389157656674432e-01,1.536369983555688238e-09,2.406391471973145439e-08,1.927732094326119798e-16
5.500000000000000028e-02,2.625895059496607051e-07,1.312947529748303532e+04,2.103573853830751627e-15,3.537068277753030074e-11,1.768534138876515005e+00,1.291752900387713682e-08,2.496719769457835484e-07,2.000093038135605318e-15
5.999999999999999778e-02,2.233264659961570106e-06,1.116632329980784998e+05,1.789042227864191255e-14,2.444303547007407183e-10,1.222151773503703609e+01,9.941934230043461392e-08,2.133845317661135651e-06,1.709398554263489475e-14
6.500000000000000222e-02,1.551873227533303858e-05,7.759366137666519498e+05,1.243187512042012506e-13,1.373263539132541816e-09,6.866317695662709752e+01,6.593930796810371238e-07,1.485933919565200209e-05,1.190364302797699514e-13
7.000000000000000666e-02,8.794563307118026193e-05,4.397281653559013270e+06,7.045221918449133490e-13,6.282471560985288783e-09,3.141235780492644949e+02,3.888998376138097275e-06,8.405663469504216551e-05,6.733678802053513387e-13
7.499999999999999722e-02,4.076397648546457690e-04,2.038198824273229018e+07,3.265554531696839438e-12,2.337978749766111208e-08,1.168989374883055461e+03,1.977828635633220385e-05,3.878614784983135414e-04,3.107112990393456965e-12
8.000000000000000167e-02,1.547197191327342796e-03,7.735985956636713445e+07,1.239441594067547901e-11,7.093638803499979709e-08,3.546819401749989083e+03,8.368344017866123944e-05,1.463513751148681503e-03,1.172403767814054111e-11
8.500000000000000611e-02,4.835140861153859951e-03,2.417570430576930046e+08,3.873374854919676137e-11,1.758936203558363156e-07,8.794681017791815975e+03,2.953092865704927601e-04,4.539831574583367245e-03,3.636806035546449026e-11
8.999999999999999667e-02,1.252561346723441403e-02,6.262806733617206812e+08,1.003412261185935010e-10,3.574535746310674009e-07,1.787267873155336565e+04,8.753979580560524408e-04,1.165021550917836116e-02,9.332851534934991357e-11
9.500000000000000111e-02,2.714563815873631200e-02,1.357281907936815500e+09,2.174605358647304730e-10,5.971696339489782712e-07,2.985848169744891493e+04,2.200912160018460902e-03,2.494472599871785240e-02,1.998292856833902724e-10
1.000000000000000056e-01,4.979801036008403570e-02,2.489900518004201889e+09,3.989260430930828502e-10,8.228579911521071749e-07,4.114289955760537123e+04,4.748228727680291195e-03,4.504978163240374450e-02,3.608885374911982615e-10
1.049999999999999961e-01,7.850439434642059178e-02,3.925219717321029663e+09,6.288895314407838752e-10,9.385745028953868210e-07,4.692872514476934157e+04,8.912304620463643370e-03,6.959208972595694320e-02,5.574941003507983737e-10
1.100000000000000006e-01,1.083792231288745744e-01,5.418961156443728447e+09,8.682132945407759376e-10,8.893702568468802742e-07,4.446851284234401828e+04,1.478713066590119779e-02,9.359209246297336970e-02,7.497553183567171440e-10
1.150000000000000050e-01,1.340145196330737309e-01,6.700725981653686523e+09,1.073574659864224839e-09,7.016301101630675459e-07,3.508150550815337920e+04,2.206589437890584329e-02,1.119486252541678911e-01,8.968073579532505077e-10
1.199999999999999956e-01,1.521715301238515117e-01,7.608576506192575455e+09,1.219028349622309921e-09,4.587449650582990558e-07,2.293724825291495654e+04,3.015129000579467103e-02,1.220202401180568441e-01,9.774898879611003220e-10
1.250000000000000000e-01,1.626471282558192011e-01,8.132356412790960312e+09,1.302947142393373495e-09,2.413166150557872270e-07,1.206583075278939214e+04,3.839177645951172974e-02,1.242553517963074783e-01,9.953951064874687544e-10
1.300000000000000044e-01,1.672333285507400513e-01,8.361666427537002563e+09,1.339686657150203933e-09,8.866820416898599371e-08,4.433410208449320635e+03,4.627627349144291385e-02,1.209570550592971305e-01,9.689728366672866758e-10
1.350000000000000089e-01,1.681813622651878726e-01,8.409068113259393692e+09,1.347281244477866628e-09,8.120183072212124357e-10,4.060091536102117971e+01,5.350493560263137188e-02,1.146764266625565076e-01,9.186594563468131592e-10
1.400000000000000133e-01,1.672840107470715265e-01,8.364200537353576660e+09,1.340092666303814337e-09,-4.066071789942956005e-08,-2.033035894971486414e+03,5.995972904802472636e-02,1.073242816990468002e-01,8.597622819952330079e-10
1.449999999999999900e-01,1.656435198677541076e-01,8.282175993387705803e+09,1.326950885528151891e-09,-5.579465329474622652e-08,-2.789732664737326559e+03,6.564483465900354531e-02,9.999868520875056233e-02,8.010777843609076915e-10
1.499999999999999944e-01,1.638015823986160024e-01,8.190079119930800438e+09,1.312195339656441080e-09,-5.895612761266059778e-08,-2.947806380633031949e+03,7.062390683809857683e-02,9.317767556051742561e-02,7.464354729674693392e-10
1.549999999999999989e-01,1.619637678128592329e-01,8.098188390642961502e+09,1.297472821721821544e-09,-5.777039881468484664e-08,-2.888519940734244301e+03,7.497731719524160232e-02,8.698645061761763053e-02,6.968382932707091351e-10
1.600000000000000033e-01,1.601958377142453094e-01,8.009791885712265015e+09,1.283310140249098814e-09,-5.510054220248890823e-08,-2.755027110124428873e+03,7.878279436974852667e-02,8.141304334449678271e-02,6.521903787469097107e-10
1.650000000000000078e-01,1.585246624712138008e-01,7.926233123560689926e+09,1.269922550620577242e-09,-5.191538161716226514e-08,-2.595769080858124653e+03,8.211018021135460532e-02,7.641448225985919551e-02,6.121474898797695944e-10
1.700000000000000122e-01,1.569555344595691682e-01,7.847776722978458405e+09,1.257352449440517534e-09,-4.884517351222637037e-08,-2.442258675611315994e+03,8.502340827915184918e-02,7.193212618041731898e-02,5.762398590010214854e-10
1.750000000000000167e-01,1.554759865340120950e-01,7.773799326700604439e+09,1.245499963864464074e-09,-4.620129085497123189e-08,-2.310064542748572421e+03,8.757741398352887618e-02,6.789857255048321882e-02,5.439275321116899066e-10
1.799999999999999933e-01,1.540718766983381338e-01,7.703593834916906357e+09,1.234251804013031905e-09,-4.382183077445249295e-08,-2.191091538722670521e+03,8.981722625815931338e-02,6.425465044017882044e-02,5.147364978054615493e-10
1.849999999999999978e-01,1.527408429896297548e-01,7.637042149481487274e+09,1.223589048477237232e-09,-4.149580633346011679e-08,-2.074790316672995687e+03,9.178450955394176769e-02,6.095633343568798712e-02,4.883140656248611842e-10
1.900000000000000022e-01,1.514819121805145441e-01,7.574095609025727272e+09,1.213503900846301926e-09,-3.931268018229295823e-08,-1.965634009114626679e+03,9.351484331320933374e-02,5.796706886730521036e-02,4.643674164033262641e-10
1.950000000000000067e-01,1.502871384886382000e-01,7.514356924431909561e+09,1.203932708386090878e-09,-3.741450803017338801e-08,-1.870725401508665527e+03,9.503929706000195654e-02,5.524784142863624348e-02,4.425840030794908182e-10
2.000000000000000111e-01,1.491466822666464298e-01,7.457334113332321167e+09,1.194796646831215227e-09,-3.572621003638676776e-08,-1.786310501819330966e+03,9.638403710220347365e-02,5.276264516444295616e-02,4.226753861525179331e-10
2.050000000000000155e-01,1.480572838472562214e-01,7.402864192362811089e+09,1.186069603367897603e-09,-3.409520985800382952e-08,-1.704760492900168174e+03,9.757068112864657194e-02,5.048660271860964943e-02,4.044422760289862667e-10
2.099999999999999922e-01,1.470186266494027116e-01,7.350931332470135689e+09,1.177749041902213545e-09,-3.253880146304510956e-08,-1.626940073152232799e+03,9.861922894922221794e-02,4.839939770018049370e-02,3.877219204745125751e-10
2.149999999999999967e-01,1.460263716012194790e-01,7.301318580060974121e+09,1.169800202636375050e-09,-3.115153680466750677e-08,-1.557576840233377879e+03,9.954730768041344935e-02,4.647906392080602966e-02,3.723383509205391838e-10
2.200000000000000011e-01,1.450743006529053858e-01,7.253715032645269394e+09,1.162173273499879772e-09,-2.991332453712897170e-08,-1.495666226856454159e+03,1.003700438209783885e-01,4.470425683192699728e-02,3.581205786822414674e-10
2.250000000000000056e-01,1.441593287357616771e-01,7.207966436788084030e+09,1.154843540367810581e-09,-2.872882996908034350e-08,-1.436441498454005341e+03,1.008219415999138391e-01,4.333738713584783797e-02,3.471707452383378879e-10
2.300000000000000100e-01,1.432811881233988505e-01,7.164059406169942856e+09,1.147808858515339715e-09,-2.758500377989275113e-08,-1.379250188994643395e+03,1.011095917987260007e-01,4.217159632467284980e-02,3.378317312493555689e-10
