t_ps,E_per_molecule_eV,E_total_eV,E_total_J,P_inst_per_mol_W,P_inst_total_W,E_passive_per_molecule_eV,Ergotropy_per_molecule_eV,Ergotropy_total_J
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.334056352760600391e-30,6.670281763803001732e-20,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,4.163262415798657843e-26,2.081631207899328928e-15,3.335140881901500839e-34,1.783837196471521713e-25,8.919185982357608257e-15,2.010013449665650960e-28,4.143162281302001100e-26,3.319038898986100464e-34
1.000000000000000021e-02,1.113383604913764953e-20,5.566918024568824697e-10,8.919185982357608412e-29,9.780635647585177643e-23,4.890317823792589808e-12,1.449825885975188195e-22,1.098885346054013141e-20,8.803042124463719104e-29
1.499999999999999944e-02,6.104592656472353643e-18,3.052296328236177034e-07,4.890317857143996708e-26,3.076521447300705913e-21,1.538260723650352771e-10,1.832959177132619425e-19,5.921296738759091749e-18,4.743481638910109845e-26
2.000000000000000042e-02,1.920324991470543324e-16,9.601624957352715856e-06,1.538349915510176679e-24,2.767368639989968153e-19,1.383684319994984116e-08,4.066792833666778078e-17,1.513645708103865516e-16,1.212563892839198790e-24
2.500000000000000139e-02,1.727866107153200221e-14,8.639330535766000761e-04,1.384173351780698740e-22,7.559605486380834762e-18,3.779802743190416714e-07,4.277989061593852432e-16,1.685086216537261751e-14,1.349902881205732403e-22
2.999999999999999889e-02,4.720254949250402341e-13,2.360127474625201005e-02,3.781341093105924507e-21,1.456476950074314208e-16,7.282384750371570369e-06,4.662996902866654745e-14,4.253955258963737119e-13,3.407793858996558757e-21
3.500000000000000333e-02,9.107892761703311431e-12,4.553946380851655595e-01,7.296226483889386952e-20,2.775208981118952427e-15,1.387604490559475980e-04,1.091721616904507792e-12,8.016171144798803034e-12,6.421661051170835377e-20
4.000000000000000083e-02,1.736869458867143626e-10,8.684347294335717393e+00,1.391385831652580642e-18,3.219011012609397450e-14,1.609505506304699128e-03,2.107072379372988925e-11,1.526162220929844734e-10,1.222590725033671544e-18
4.499999999999999833e-02,2.018256537360770976e-09,1.009128268680385503e+02,1.616801732788587675e-17,4.069199636418322369e-13,2.034599818209161318e-02,1.623605828273243695e-10,1.855895954533446606e-09,1.486736566744307247e-17
5.000000000000000278e-02,2.557163340238414088e-08,1.278581670119207047e+03,2.048513676525689442e-16,4.169845693492756712e-12,2.084922846746378455e-01,1.534263107265144473e-09,2.403737029511899517e-08,1.925605651482266821e-16
5.500000000000000028e-02,2.622795538877223022e-07,1.311397769438611431e+04,2.101090864074262490e-15,3.532461818037533783e-11,1.766230909018766670e+00,1.289964622845181296e-08,2.493799076592704727e-07,1.997753305203803760e-15
5.999999999999999778e-02,2.230360882649125861e-06,1.115180441324562998e+05,1.786716045784022874e-14,2.440880163436175206e-10,1.220440081718087555e+01,9.921777134829677013e-08,2.131143111300829276e-06,1.707233848318125074e-14
6.500000000000000222e-02,1.549705524364589798e-05,7.748527621822948568e+05,1.241450990358831608e-13,1.371182517338600633e-09,6.855912586693003163e+01,6.579548418971187169e-07,1.483910040174877884e-05,1.188742996663095255e-13
7.000000000000000666e-02,8.781284212975748080e-05,4.390642106487873942e+06,7.034584191271410545e-13,6.272030088032438096e-09,3.136015044016219804e+02,3.879800464503304955e-06,8.393304166525417077e-05,6.723777908830934228e-13
7.499999999999999722e-02,4.069663823410991357e-04,2.034831911705495790e+07,3.260160143052096243e-12,2.333680012456560645e-08,1.166840006228280345e+03,1.972666069665313281e-05,3.872397216444460198e-04,3.102132168876977142e-12
8.000000000000000167e-02,1.544381339593291907e-03,7.721906697966459394e+07,1.237185848140995594e-11,7.079020590205888404e-08,3.539510295102944383e+03,8.344378943723782340e-05,1.460937550156054003e-03,1.170340003296616249e-11
8.500000000000000611e-02,4.825343507547566642e-03,2.412671753773783445e+08,3.865526309408156916e-11,1.754810598287939560e-07,8.774052991439699326e+03,2.943710077531633230e-04,4.530972499794403210e-03,3.629709134233581251e-11
8.999999999999999667e-02,1.249704761276737228e-02,6.248523806383686066e+08,1.001123883958068143e-10,3.564805055561284865e-07,1.782402527780642777e+04,8.722845114181641910e-04,1.162476310134920830e-02,9.312461908383537032e-11
9.500000000000000111e-02,2.707510661051693718e-02,1.353755330525846958e+09,2.168955158721458900e-10,5.952348753698524027e-07,2.976174376849262262e+04,2.192086146589307307e-03,2.488302046392763117e-02,1.993349698532434361e-10
1.000000000000000056e-01,4.964868637333195306e-02,2.482434318666597843e+09,3.977298260807332631e-10,8.195780487749417057e-07,4.097890243874708540e+04,4.726638448451393228e-03,4.492204792488056070e-02,3.598652776833590824e-10
1.049999999999999961e-01,7.822914489709334451e-02,3.911457244854667187e+09,6.266845402596164366e-10,9.337638456518594994e-07,4.668819228259296506e+04,8.866106634509552872e-03,6.936303826258378991e-02,5.556591958377984622e-10
1.100000000000000006e-01,1.079296415337265141e-01,5.396482076686326027e+09,8.646117489066626671e-10,8.831488918527695482e-07,4.415744459263847239e+04,1.469945682912994489e-02,9.323018470459656926e-02,7.468561175860441201e-10
1.150000000000000050e-01,1.333509631230837267e-01,6.667548156154186249e+09,1.068258986186001964e-09,6.943678105521792828e-07,3.471839052760894992e+04,2.191600939991619063e-02,1.114349537231675291e-01,8.926923953306515574e-10
1.199999999999999956e-01,1.512686714394753107e-01,7.563433571973765373e+09,1.211795654182752248e-09,4.508906299218585555e-07,2.254453149609293905e+04,2.991685874106217446e-02,1.213518126984131362e-01,9.721351939947101486e-10
1.250000000000000000e-01,1.614933427055497139e-01,8.074667135277485847e+09,1.293704301146930499e-09,2.332394732519157348e-07,1.166197366259581759e+04,3.805135753039829566e-02,1.234419851751514252e-01,9.888793215110100719e-10
1.300000000000000044e-01,1.658263343277181501e-01,8.291316716385907173e+09,1.328415390808710484e-09,8.059088677199376265e-08,4.029544338599662296e+03,4.581112215146811856e-02,1.200152121762500246e-01,9.614278433667003170e-10
1.350000000000000089e-01,1.665234302166120894e-01,8.326171510830604553e+09,1.333999744532927242e-09,-7.176396445254771563e-09,-3.588198222627397627e+02,5.289982473770850346e-02,1.136236054789035860e-01,9.102254288456684007e-10
1.400000000000000133e-01,1.653784188923682896e-01,8.268920944618414879e+09,1.324827192586083155e-09,-4.855186434604443806e-08,-2.427593217302230187e+03,5.920309446404683346e-02,1.061753244283214492e-01,8.505581195321302133e-10
1.449999999999999900e-01,1.634930611976338766e-01,8.174653059881693840e+09,1.309723812359905256e-09,-6.360092214066112001e-08,-3.180046107033049338e+03,6.472812211025975870e-02,9.876493908737411787e-02,7.911943883211203640e-10
1.499999999999999944e-01,1.614087615655181995e-01,8.070438078275910378e+09,1.293026731515752578e-09,-6.667645654225553151e-08,-3.333822827112773666e+03,6.954121560284230730e-02,9.186754596267589223e-02,7.359401778216017826e-10
1.549999999999999989e-01,1.593314441120201042e-01,7.966572205601005554e+09,1.276385584088777478e-09,-6.539196971336461102e-08,-3.269598485668233479e+03,7.372475739926892535e-02,8.560668671275117880e-02,6.857851658266410178e-10
1.600000000000000033e-01,1.573273158418899142e-01,7.866365792094495773e+09,1.260330746659070198e-09,-6.261348253058020172e-08,-3.130674126529018395e+03,7.735803725618038695e-02,7.996927858570952730e-02,6.406245479393018182e-10
1.650000000000000078e-01,1.554234179180380426e-01,7.771170895901902199e+09,1.245078842823487351e-09,-5.931291394891507454e-08,-2.965645697445754195e+03,8.051229352934698158e-02,7.491112438869106105e-02,6.001042656111417168e-10
1.700000000000000122e-01,1.536252949354412756e-01,7.681264746772064209e+09,1.230674289684612714e-09,-5.611512365956686699e-08,-2.805756182978351717e+03,8.325245854890328534e-02,7.037283638653799023e-02,5.637485706340807593e-10
