t,S10,S11,T1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.101392173491708366e-26,1.101392173491708366e-26,0.000000000000000000e+00
1.000000000000000021e-02,2.945458907396937612e-21,2.945458907396937612e-21,1.149314355466040118e-27
1.499999999999999944e-02,1.730455442534448908e-18,1.507265497270639253e-18,4.489308116107556703e-21
2.000000000000000042e-02,5.925755417530122713e-17,4.294902722128788300e-17,2.748557986938334690e-19
2.500000000000000139e-02,5.598710353750279996e-15,3.618094946799758826e-15,3.096188267446164453e-17
2.999999999999999889e-02,1.923603843651662442e-13,6.227793947589659733e-14,2.055371661274218823e-15
3.500000000000000333e-02,3.427292059563690588e-12,1.461833214584835102e-12,3.694726661364880469e-14
4.000000000000000083e-02,6.453831542629230510e-11,2.864161263895338368e-11,6.729786940194059999e-13
4.499999999999999833e-02,7.963278281724677180e-10,2.887784793953683618e-10,1.090404511808195470e-11
5.000000000000000278e-02,1.002484341913301528e-08,3.717503974414376454e-09,1.385455182212029463e-10
5.500000000000000028e-02,1.048672846826684867e-07,3.619729288965539063e-08,1.539807488035026733e-09
5.999999999999999778e-02,9.103595764917037948e-07,2.902662652134161666e-07,1.415509784504263276e-08
6.500000000000000222e-02,6.449817172017682334e-06,1.897860543361802910e-06,1.080148215789524761e-07
7.000000000000000666e-02,3.728126283099551108e-05,1.004642632328426674e-05,6.788553939494518790e-07
7.499999999999999722e-02,1.760787949976918133e-04,4.332717981203361028e-05,3.530524202337862207e-06
8.000000000000000167e-02,6.801040397088149638e-04,1.524933265672881769e-04,1.521397430270242547e-05
8.500000000000000611e-02,2.158001117722535816e-03,4.421090639841493506e-04,5.463622659289622390e-05
8.999999999999999667e-02,5.660121742020710230e-03,1.066180557204698303e-03,1.648198639064957336e-04
9.500000000000000111e-02,1.237565489458805276e-02,2.168020875700382103e-03,4.218545611834574952e-04
1.000000000000000056e-01,2.280927572184029625e-02,3.777379200934931000e-03,9.272714899761571065e-04
1.049999999999999961e-01,3.595956021839796096e-02,5.742961117806951246e-03,1.775628353980623908e-03
1.100000000000000006e-01,4.941117474108691621e-02,7.765725999428290359e-03,3.010960003206898748e-03
1.150000000000000050e-01,6.054662864719091014e-02,9.516811158568614856e-03,4.602765793467074144e-03
1.199999999999999956e-01,6.788628149625738906e-02,1.076783845526795361e-02,6.460285357543623687e-03
1.250000000000000000e-01,7.146200117069541335e-02,1.146170972155542526e-02,8.472066958849524404e-03
1.300000000000000044e-01,7.223250683610170364e-02,1.169487045932578011e-02,1.054202361791212531e-02
1.350000000000000089e-01,7.131766860351280990e-02,1.162792331605717530e-02,1.260517477394867622e-02
1.400000000000000133e-01,6.958257888135402358e-02,1.140201690623670987e-02,1.462581148833917710e-02
1.449999999999999900e-01,6.755247171170225551e-02,1.110552932522452380e-02,1.658839503028001344e-02
1.499999999999999944e-01,6.547832676072920521e-02,1.078644312286021999e-02,1.848845759774408667e-02
1.549999999999999989e-01,6.344716307493945828e-02,1.046944622029159604e-02,2.032634159430159529e-02
1.600000000000000033e-01,6.148412305612624418e-02,1.016394817574260180e-02,2.210398270912556501e-02
1.650000000000000078e-01,5.960252207717472300e-02,9.870027180739844933e-03,2.382381563529645252e-02
1.700000000000000122e-01,5.780550697576545410e-02,9.586056860631030768e-03,2.548842649058269405e-02
1.750000000000000167e-01,5.608375116759444640e-02,9.312977830294675088e-03,2.710028913124860536e-02
1.799999999999999933e-01,5.442762131191587749e-02,9.051286328938245099e-03,2.866161708680654840e-02
1.849999999999999978e-01,5.283608844512407976e-02,8.799526020332156320e-03,3.017445313176331592e-02
1.900000000000000022e-01,5.130927063512835673e-02,8.555906744252382221e-03,3.164078304946901093e-02
1.950000000000000067e-01,4.984147933455607138e-02,8.320556810218517063e-03,3.306249276255481678e-02
2.000000000000000111e-01,4.842573903111666717e-02,8.093930131261211150e-03,3.444129822761457516e-02
2.050000000000000155e-01,4.706002566772150147e-02,7.875260708753136288e-03,3.577877948996441987e-02
2.099999999999999922e-01,4.574436936046236135e-02,7.663383386187126722e-03,3.707646271519760700e-02
2.149999999999999967e-01,4.447563568859903838e-02,7.458092377679131392e-03,3.833581346544077256e-02
2.200000000000000011e-01,4.324912933617352379e-02,7.259744201452603997e-03,3.955819183016593549e-02
2.250000000000000056e-01,4.206269729688126569e-02,7.067952717849873903e-03,4.074485936263480546e-02
2.300000000000000100e-01,4.091613167676286938e-02,6.881959959304301787e-03,4.189702832192401111e-02
2.350000000000000144e-01,3.980769986776496600e-02,6.701456107974881372e-03,4.301587156884360830e-02
2.399999999999999911e-01,3.873430047140302701e-02,6.526629914509413447e-03,4.410249495688415428e-02
2.449999999999999956e-01,3.769401887591521116e-02,6.357323823684181419e-03,4.515793474549124886e-02
2.500000000000000000e-01,3.668641366231303186e-02,6.193032298603936073e-03,4.618318428043079182e-02
2.550000000000000044e-01,3.571047366844842114e-02,6.033458371269139787e-03,4.717920778204454102e-02
2.600000000000000089e-01,3.476415250737867335e-02,5.878642045683121244e-03,4.814692557152185082e-02
2.650000000000000133e-01,3.384587576452452451e-02,5.728532291003332264e-03,4.908720831684643127e-02
2.700000000000000178e-01,3.295506088378635096e-02,5.582799540767013034e-03,5.000089097615899314e-02
2.750000000000000222e-01,3.209103148339810530e-02,5.441190247587028399e-03,5.088878436502970726e-02
2.800000000000000266e-01,3.125242218003552314e-02,5.303658498155807560e-03,5.175166909699888129e-02
2.850000000000000311e-01,3.043798082848981484e-02,5.170173998672006332e-03,5.259028957421550687e-02
2.899999999999999800e-01,2.964707968271522789e-02,5.040532028629216531e-03,5.340536098791198727e-02
2.949999999999999845e-01,2.887918298554519383e-02,4.914525146752769108e-03,5.419757751888477221e-02
2.999999999999999889e-01,2.813335057153723909e-02,4.792072867982190981e-03,5.496761097709931126e-02
3.049999999999999933e-01,2.740859966645186122e-02,4.673131823950790915e-03,5.571610616452946085e-02
3.099999999999999978e-01,2.670431939773088709e-02,4.557572746573340661e-03,5.644368389793805174e-02
3.150000000000000022e-01,2.602003602515990527e-02,4.445233147906601720e-03,5.715094655942477841e-02
3.200000000000000067e-01,2.535506429765054318e-02,4.336024107411441675e-03,5.783847865350275758e-02
3.250000000000000111e-01,2.470863399322162368e-02,4.229889537691041562e-03,5.850684396682486604e-02
3.300000000000000155e-01,2.408018171212922623e-02,4.126736656044221324e-03,5.915658643350691498e-02
3.350000000000000200e-01,2.346927197956539049e-02,4.026442049788072838e-03,5.978823380124156234e-02
3.400000000000000244e-01,2.287537016438500811e-02,3.928919500577518140e-03,6.040229875394701603e-02
3.450000000000000289e-01,2.229786591810896737e-02,3.834109144426699374e-03,6.099927748691209156e-02
3.500000000000000333e-01,2.173625523103516616e-02,3.741934298587681201e-03,6.157964966861909084e-02
3.549999999999999822e-01,2.119013600544420589e-02,3.652299837247283132e-03,6.214388071602992836e-02
3.599999999999999867e-01,2.065906667849292874e-02,3.565127266787632750e-03,6.269242298999225249e-02
