t,S10,S11,T1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.101392173491708366e-26,1.101392173491708366e-26,0.000000000000000000e+00
1.000000000000000021e-02,2.945459090116555518e-21,2.945459090116555518e-21,1.149314355466040118e-27
1.499999999999999944e-02,1.731057751392637244e-18,1.507867773012662300e-18,4.490359964865485841e-21
2.000000000000000042e-02,5.928609371559985777e-17,4.296878652014337848e-17,2.749365571642937510e-19
2.500000000000000139e-02,5.603702972253984043e-15,3.619316480649215617e-15,3.099029615891550194e-17
2.999999999999999889e-02,1.925697607918855359e-13,6.227071366807918230e-14,2.057106709882842928e-15
3.500000000000000333e-02,3.431224493946314803e-12,1.462645804661431173e-12,3.698785666530851609e-14
4.000000000000000083e-02,6.459712712985051944e-11,2.863657145758919537e-11,6.733444423784614159e-13
4.499999999999999833e-02,7.973319930188309554e-10,2.889103148084725798e-10,1.091528874535205327e-11
5.000000000000000278e-02,1.003837647340255784e-08,3.719580320835335652e-09,1.386960468929020528e-10
5.500000000000000028e-02,1.050159190844537669e-07,3.621762987030688939e-08,1.541593221747199139e-09
5.999999999999999778e-02,9.117673679418619871e-07,2.904420927093381767e-07,1.417310939810874324e-08
6.500000000000000222e-02,6.460411576400653861e-06,1.899087755667806390e-06,1.081625048283243464e-07
7.000000000000000666e-02,3.734658281003102779e-05,1.005350719430338350e-05,6.798510843417119947e-07
7.499999999999999722e-02,1.764107004123371242e-04,4.336214180165904052e-05,3.536130757535961778e-06
8.000000000000000167e-02,6.814915441143548072e-04,1.526381622740402859e-04,1.524028118899177686e-05
8.500000000000000611e-02,2.162807872955937235e-03,4.426247035891540298e-04,5.473974665153333123e-05
8.999999999999999667e-02,5.674035381287902309e-03,1.067750050126078107e-03,1.651646088594456690e-04
9.500000000000000111e-02,1.240967211535772344e-02,2.172123577098688044e-03,4.228355256811254059e-04
1.000000000000000056e-01,2.288046892514960379e-02,3.786611758144509034e-03,9.296845169648674644e-04
1.049999999999999961e-01,3.608919260944699892e-02,5.760975374260685587e-03,1.780830528259688770e-03
1.100000000000000006e-01,4.962037686631302208e-02,7.796556148525649738e-03,3.020937833231886280e-03
1.150000000000000050e-01,6.085200697382823348e-02,9.563839381123442895e-03,4.620064370605860352e-03
1.199999999999999956e-01,6.829776302973342150e-02,1.083305828991017183e-02,6.487830519571558506e-03
1.250000000000000000e-01,7.198331764236372277e-02,1.154571918013739228e-02,8.512961140879330216e-03
1.300000000000000044e-01,7.286308663039446631e-02,1.179744980236544991e-02,1.059938769794669701e-02
1.350000000000000089e-01,7.205475147682802173e-02,1.174858713704068566e-02,1.268205691555916031e-02
1.400000000000000133e-01,7.042294777838177533e-02,1.154024943686522871e-02,1.472515573461234857e-02
1.449999999999999900e-01,6.849324966978553864e-02,1.126081216738263058e-02,1.671304369469038889e-02
1.499999999999999944e-01,6.651681079176638423e-02,1.095830100878983880e-02,1.864116103231218055e-02
1.549999999999999989e-01,6.458043085461905031e-02,1.065747855826400074e-02,2.050976029160332323e-02
1.600000000000000033e-01,6.270906461558807543e-02,1.036775660832626317e-02,2.232068366567399251e-02
1.650000000000000078e-01,6.091608411930103661e-02,1.008913318171583348e-02,2.407627068488861835e-02
1.700000000000000122e-01,5.920462385402966432e-02,9.819923271005590731e-03,2.577901245165560573e-02
1.750000000000000167e-01,5.756511733468850506e-02,9.561088279363734108e-03,2.743128524761023410e-02
1.799999999999999933e-01,5.598774709356750534e-02,9.313132312024057641e-03,2.903520056706570401e-02
1.849999999999999978e-01,5.447156098765897764e-02,9.074553827159522260e-03,3.059269784538870898e-02
1.900000000000000022e-01,5.301677777383531631e-02,8.843521468099718730e-03,3.210566156255616199e-02
1.950000000000000067e-01,5.161762767427721665e-02,8.620186527734130869e-03,3.357587708940087262e-02
2.000000000000000111e-01,5.026703739263829740e-02,8.405032545268031896e-03,3.500495857621028356e-02
2.050000000000000155e-01,4.896307097763089033e-02,8.197278167091126208e-03,3.639438448133965748e-02
2.099999999999999922e-01,4.770590886436940764e-02,7.995735272937221777e-03,3.774558235987929278e-02
2.149999999999999967e-01,4.649243407799564382e-02,7.800216993534149490e-03,3.905992168348888793e-02
2.200000000000000011e-01,4.531791632424305577e-02,7.611117581284214048e-03,4.033866718213885427e-02
2.250000000000000056e-01,4.418028565580686684e-02,7.428054097143159742e-03,4.158298619820940262e-02
2.300000000000000100e-01,4.307949228387005641e-02,7.250257955522269350e-03,4.279399989076836802e-02
2.350000000000000144e-01,4.201387698881121902e-02,7.077434018304265724e-03,4.397279327411916100e-02
2.399999999999999911e-01,4.098034762039994700e-02,6.909807144079616742e-03,4.512038621892060924e-02
2.449999999999999956e-01,3.997706583464507440e-02,6.747234907580675935e-03,4.623773072419232189e-02
2.500000000000000000e-01,3.900373570009606911e-02,6.589209196573376018e-03,4.732573881364360996e-02
2.550000000000000044e-01,3.805944623432241242e-02,6.435444893436904554e-03,4.838529678092007985e-02
2.600000000000000089e-01,3.714218992116181256e-02,6.286011901947541163e-03,4.941724944923393120e-02
2.650000000000000133e-01,3.625046312924326553e-02,6.140880222535710815e-03,5.042239400531510485e-02
2.700000000000000178e-01,3.538380925318473230e-02,5.999723886979389451e-03,5.140149462730074503e-02
2.750000000000000222e-01,3.454165915756181315e-02,5.862299287989913670e-03,5.235529455596791421e-02
2.800000000000000266e-01,3.372270453573548987e-02,5.728583849974252205e-03,5.328450945706136865e-02
2.850000000000000311e-01,3.292575971292268505e-02,5.598568849157326867e-03,5.418982088831121591e-02
2.899999999999999800e-01,3.215030336686785367e-02,5.472057954656281767e-03,5.507188366749767028e-02
2.949999999999999845e-01,3.139590217851578186e-02,5.348852572598645876e-03,5.593133447286124244e-02
2.999999999999999889e-01,3.066168204261645464e-02,5.228890363447978237e-03,5.676879018243877889e-02
3.049999999999999933e-01,2.994672303222153248e-02,5.112146965012889614e-03,5.758484275112492334e-02
3.099999999999999978e-01,2.925050367202345486e-02,4.998504115855443262e-03,5.838006237551151417e-02
3.150000000000000022e-01,2.857264224743341283e-02,4.887807917978641108e-03,5.915500333101256919e-02
3.200000000000000067e-01,2.791252128747695460e-02,4.779983849818600708e-03,5.991020437569002238e-02
3.250000000000000111e-01,2.726942991553499979e-02,4.674991559742340021e-03,6.064618555263731614e-02
3.300000000000000155e-01,2.664288002535265473e-02,4.572749564806536694e-03,6.136344903201521733e-02
3.350000000000000200e-01,2.603251619446472070e-02,4.473143092711504010e-03,6.206248296171936601e-02
3.400000000000000244e-01,2.543786831842834509e-02,4.376097691743884195e-03,6.274376252813171351e-02
3.450000000000000289e-01,2.485838140866530183e-02,4.281566467639805890e-03,6.340774828420141229e-02
3.500000000000000333e-01,2.429361527674474622e-02,4.189482936276073613e-03,6.405488600526169918e-02
3.549999999999999822e-01,2.374323631324007020e-02,4.099760298338997640e-03,6.468560905613750245e-02
3.599999999999999867e-01,2.320686157221052426e-02,4.012329946458882864e-03,6.530033958774070224e-02
