t,S10,S11,T1
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,1.101392173491708366e-26,1.101392173491708366e-26,0.000000000000000000e+00
1.000000000000000021e-02,2.945459090116555518e-21,2.945459090116555518e-21,1.149314355466040118e-27
1.499999999999999944e-02,1.731057751392637244e-18,1.507867773012662300e-18,4.490365540016340697e-21
2.000000000000000042e-02,5.928609371559985777e-17,4.296878652014337848e-17,2.749373322131922236e-19
2.500000000000000139e-02,5.603702972253984043e-15,3.619316480649215617e-15,3.099047726885679627e-17
2.999999999999999889e-02,1.925697607918855359e-13,6.227071366807918230e-14,2.057143654348105334e-15
3.500000000000000333e-02,3.431224493946314803e-12,1.462645804661431173e-12,3.698842694582786255e-14
4.000000000000000083e-02,6.459712712985051944e-11,2.863657145758919537e-11,6.733551129539317960e-13
4.499999999999999833e-02,7.973319930188305418e-10,2.889103148084722179e-10,1.091549225609754256e-11
5.000000000000000278e-02,1.003837647340253633e-08,3.719580320835330275e-09,1.386988065569159093e-10
5.500000000000000028e-02,1.050159190844543889e-07,3.621762987030709454e-08,1.541625810422081241e-09
5.999999999999999778e-02,9.117673679418746926e-07,2.904420927093410355e-07,1.417343222566729468e-08
6.500000000000000222e-02,6.460411576400649625e-06,1.899087755667784579e-06,1.081651806556252533e-07
7.000000000000000666e-02,3.734658281003220008e-05,1.005350719430330219e-05,6.798695517683257177e-07
7.499999999999999722e-02,1.764107004124869068e-04,4.336214180168091430e-05,3.536237194975962530e-06
8.000000000000000167e-02,6.814915441176650933e-04,1.526381622744508461e-04,1.524079438538657240e-05
8.500000000000000611e-02,2.162807873003011125e-03,4.426247035941460761e-04,5.474182737809347001e-05
8.999999999999999667e-02,5.674035381758149414e-03,1.067750050169861660e-03,1.651717594740182966e-04
9.500000000000000111e-02,1.240967211872085439e-02,2.172123577388146171e-03,4.228565595987157188e-04
1.000000000000000056e-01,2.288046894279320911e-02,3.786611759654528141e-03,9.297380886884899776e-04
1.049999999999999961e-01,3.608919267934754954e-02,5.760975380667531995e-03,1.780950209879159085e-03
1.100000000000000006e-01,4.962037708290601562e-02,7.796556170892235751e-03,3.021175719397486102e-03
1.150000000000000050e-01,6.085200752026732884e-02,9.563839445677322498e-03,4.620491398955835390e-03
1.199999999999999956e-01,6.829776420021715921e-02,1.083305844574306183e-02,6.488533275395180940e-03
1.250000000000000000e-01,7.198331985428609026e-02,1.154571950196689629e-02,8.514036625621843393e-03
1.300000000000000044e-01,7.286309043260229268e-02,1.179745038833861920e-02,1.060093805954315585e-02
1.350000000000000089e-01,7.205475755306471608e-02,1.174858810677498026e-02,1.268418543687255436e-02
1.400000000000000133e-01,7.042295694150368934e-02,1.154025093320381647e-02,1.472796437067820305e-02
1.449999999999999900e-01,6.849326284936499420e-02,1.126081435919452575e-02,1.671663184551007084e-02
1.499999999999999944e-01,6.651682902505508255e-02,1.095830409022831298e-02,1.864562508441300684e-02
1.549999999999999989e-01,6.458045528520571510e-02,1.065748274441423796e-02,2.051519354295793310e-02
1.600000000000000033e-01,6.270909648866673791e-02,1.036776213282254722e-02,2.232717639682163871e-02
1.650000000000000078e-01,6.091612476203227960e-02,1.008914029908516800e-02,2.408391027449635971e-02
1.700000000000000122e-01,5.920467465295982390e-02,9.819932257612597887e-03,2.578788350963111611e-02
1.750000000000000167e-01,5.756517973207612993e-02,9.561099427728250374e-03,2.744146975117348064e-02
1.799999999999999933e-01,5.598782259391411192e-02,9.313145924171119944e-03,2.904677798332595123e-02
1.849999999999999978e-01,5.447165114529305130e-02,9.074570216836462533e-03,3.060574523735559715e-02
1.900000000000000022e-01,5.301688416465462350e-02,8.843540966271290840e-03,3.212025369037468242e-02
1.950000000000000067e-01,5.161775188859384772e-02,8.620209479260700774e-03,3.359208651141932372e-02
2.000000000000000111e-01,5.026718105136436521e-02,8.405059298640549237e-03,3.502285574171730420e-02
2.050000000000000155e-01,4.896323573037245774e-02,8.197309073311455710e-03,3.641403781052219429e-02
2.099999999999999922e-01,4.770609635945181198e-02,7.995770694231914277e-03,3.776705831849670736e-02
2.149999999999999967e-01,4.649264594927283306e-02,7.800257304624614273e-03,3.908328485850776080e-02
2.200000000000000011e-01,4.531815421193696736e-02,7.611163158694328294e-03,4.036398035341065560e-02
2.250000000000000056e-01,4.418055121490446768e-02,7.428105313353015361e-03,4.161031040109743756e-02
2.300000000000000100e-01,4.307978715648252271e-02,7.250315187345830921e-03,4.282339447365104274e-02
2.350000000000000144e-01,4.201420278513737921e-02,7.077497652476105565e-03,4.400431595672078117e-02
2.399999999999999911e-01,4.098070593931170402e-02,6.909877569332476162e-03,4.515409314926554368e-02
2.449999999999999956e-01,3.997745828021426889e-02,6.747312506089343277e-03,4.627367652935481662e-02
2.500000000000000000e-01,3.900416385875997427e-02,6.589294349104188146e-03,4.736397664592690432e-02
2.550000000000000044e-01,3.805991165196898063e-02,6.435537986767209465e-03,4.842587836429011056e-02
2.600000000000000089e-01,3.714269412036479839e-02,6.286113324440024616e-03,4.946022512573552965e-02
2.650000000000000133e-01,3.625100763108544261e-02,6.140990356097808175e-03,5.046781277738927873e-02
2.700000000000000178e-01,3.538439556002583725e-02,5.999843109138453846e-03,5.144940419615150196e-02
2.750000000000000222e-01,3.454228872816369339e-02,5.862427978596783384e-03,5.240574135965858638e-02
2.800000000000000266e-01,3.372337879812880440e-02,5.728722388760734870e-03,5.333753870912127937e-02
2.850000000000000311e-01,3.292648008910817325e-02,5.598717609525136543e-03,5.424547661381674823e-02
2.899999999999999800e-01,3.215107126119742115e-02,5.472217304948025739e-03,5.513020873580237041e-02
2.949999999999999845e-01,3.139671895181457562e-02,5.349022881480861545e-03,5.599237062967240414e-02
2.999999999999999889e-01,3.066254902054743603e-02,5.229071997711370184e-03,5.683257808245738285e-02
3.049999999999999933e-01,2.994764153136050822e-02,5.112340284071204000e-03,5.765142198925770484e-02
3.099999999999999978e-01,2.925147499388918923e-02,4.998709473720646529e-03,5.844947151537721597e-02
3.150000000000000022e-01,2.857366765214046714e-02,4.888025668641983630e-03,5.922727993251709205e-02
3.200000000000000067e-01,2.791360199713352128e-02,4.780214344974763677e-03,5.998538502300854863e-02
3.250000000000000111e-01,2.727056714067091839e-02,4.675235142342315693e-03,6.072430588143077484e-02
3.300000000000000155e-01,2.664407496489330091e-02,4.573006570997992931e-03,6.144454375461820550e-02
3.350000000000000200e-01,2.603377000993255252e-02,4.473413858575869123e-03,6.214658589124456844e-02
3.400000000000000244e-01,2.543918213157675759e-02,4.376382552121188887e-03,6.283090660274258388e-02
3.450000000000000289e-01,2.485975632687897202e-02,4.281865748411578521e-03,6.349796559097599380e-02
3.500000000000000333e-01,2.429505239915370762e-02,4.189796954381575476e-03,6.414820780261357158e-02
3.549999999999999822e-01,2.374473670723258392e-02,4.100089369591199129e-03,6.478206579515866093e-02
3.599999999999999867e-01,2.320842626507500089e-02,4.012674386886809844e-03,6.539996093346854555e-02
